dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_charg_power_quan,b_soh,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M2210703775,2022-01-10 07:54:25.000,9.5,-46.5,625.7,3.48,3.46,2686.5,100.0,False,True,,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:54:36.000,9.5,-96.8,640.7,3.56,3.54,2686.6,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:54:46.000,10.0,-96.9,642.7,3.58,3.56,2686.7,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:54:56.000,10.0,-96.2,644.0,3.58,3.56,2686.9,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:55:06.000,10.0,-96.4,645.1,3.6,3.56,2687.0,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:55:16.000,10.5,-97.1,646.1,3.6,3.56,2687.2,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:55:26.000,10.5,-97.1,647.1,3.6,3.58,2687.3,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:55:36.000,11.0,-96.9,647.8,3.6,3.58,2687.5,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:55:46.000,11.0,-96.8,648.5,3.62,3.58,2687.7,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:55:56.000,11.5,-90.7,648.2,3.62,3.58,2687.8,100.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:56:06.000,11.5,-96.8,650.0,3.62,3.6,2688.0,100.0,False,True,-5.0,,6.0,10.0,7.0,11.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:56:16.000,11.5,-97.3,650.7,3.62,3.6,2688.1,100.0,False,True,-5.0,,6.0,10.0,7.0,11.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:56:26.000,12.0,-96.8,651.3,3.62,3.6,2688.3,100.0,False,True,-5.0,,6.0,10.0,7.0,11.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:56:36.000,12.0,-96.9,652.0,3.64,3.6,2688.5,100.0,False,True,-5.0,,7.0,10.0,7.0,11.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
M2210703775,2022-01-10 07:56:46.000,12.5,-97.3,652.7,3.64,3.6,2688.6,100.0,False,True,-5.0,,7.0,11.0,7.0,11.0,IONIQ5,108,-3.3,2.3,82,,,,,,,,,
