dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M1200607495,2022-01-28 14:07:41.000,67.0,0.4,694.0,440.9,False,False,False,0.064,0.0,,1558.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:07:51.000,67.0,0.3,693.9,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:08:01.000,67.0,0.5,693.9,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,12.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:08:11.000,67.0,0.6,693.9,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:08:21.000,67.0,0.5,693.9,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:08:31.000,67.0,0.3,694.0,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:08:41.000,67.0,0.3,694.0,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:08:51.000,67.0,0.4,694.1,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:09:01.000,67.0,0.4,694.1,440.9,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:09:11.000,67.0,11.5,692.6,440.9,False,False,False,10.192,7.62,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:09:21.000,67.0,31.1,689.7,441.0,False,False,False,37.088,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:09:31.000,67.0,0.4,694.2,441.0,False,False,False,,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:09:41.000,67.0,0.5,694.1,441.0,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:09:51.000,67.0,36.2,688.7,441.0,False,False,False,32.416,25.888,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:10:01.000,67.0,-18.1,696.5,441.0,False,False,False,10.24,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:10:11.000,67.0,0.4,694.1,441.0,False,False,False,0.0,0.0,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:10:21.000,67.0,-10.7,692.1,441.0,False,False,False,10.656,23.398,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:10:31.000,67.0,58.2,684.9,441.1,False,False,False,46.368,26.026,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:10:41.000,67.0,34.0,687.9,441.1,False,False,False,54.64,20.22,,1558.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
M1200607495,2022-01-28 14:10:51.000,66.5,32.9,687.1,441.2,False,False,False,63.712,15.44,,1559.0,11.0,12.0,11.0,12.0,IONIQ5,108,1.9,2.9,38,,,,,,,,,
