dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2211123122,2022-01-18 10:32:37.000,40.0,-22.2,522.0,810.5,False,False,False,39.872,0.0,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:37.000,40.0,-22.2,522.0,810.5,False,False,False,39.872,0.0,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:37.000,40.0,-22.2,522.0,810.5,False,False,False,39.872,0.0,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:46.000,40.0,12.7,516.1,810.6,False,False,False,45.6,27.202,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:46.000,40.0,12.7,516.1,810.6,False,False,False,45.6,27.202,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:46.000,40.0,12.7,516.1,810.6,False,False,False,45.6,27.202,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:55.000,40.0,-13.5,521.0,810.6,False,False,False,41.264,8.458,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:55.000,40.0,-13.5,521.0,810.6,False,False,False,41.264,8.458,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:32:55.000,40.0,-13.5,521.0,810.6,False,False,False,41.264,8.458,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:04.000,40.0,-56.9,523.4,810.6,False,False,False,34.672,0.0,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:04.000,40.0,-56.9,523.4,810.6,False,False,False,34.672,0.0,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:04.000,40.0,-56.9,523.4,810.6,False,False,False,34.672,0.0,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:13.000,40.0,62.2,508.1,810.6,False,False,False,44.624,25.888,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:13.000,40.0,62.2,508.1,810.6,False,False,False,44.624,25.888,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:13.000,40.0,62.2,508.1,810.6,False,False,False,44.624,25.888,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:22.000,40.0,62.4,507.5,810.7,False,False,False,53.872,20.908,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:22.000,40.0,62.4,507.5,810.7,False,False,False,53.872,20.908,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:22.000,40.0,62.4,507.5,810.7,False,False,False,53.872,20.908,,3519.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:31.000,40.0,-47.2,526.6,810.7,False,False,False,28.592,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:31.000,40.0,-47.2,526.6,810.7,False,False,False,28.592,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:31.000,40.0,-47.2,526.6,810.7,False,False,False,28.592,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:40.000,40.0,-7.1,516.1,810.7,False,False,False,15.104,26.714,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:40.000,40.0,-7.1,516.1,810.7,False,False,False,15.104,26.714,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:40.000,40.0,-7.1,516.1,810.7,False,False,False,15.104,26.714,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:49.000,39.5,28.5,513.5,810.8,False,False,False,40.112,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:49.000,39.5,28.5,513.5,810.8,False,False,False,40.112,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:49.000,39.5,28.5,513.5,810.8,False,False,False,40.112,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:58.000,39.5,30.0,513.7,810.8,False,False,False,31.424,12.262,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:58.000,39.5,30.0,513.7,810.8,False,False,False,31.424,12.262,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:33:58.000,39.5,30.0,513.7,810.8,False,False,False,31.424,12.262,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:07.000,39.5,9.7,516.9,810.8,False,False,False,31.312,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:07.000,39.5,9.7,516.9,810.8,False,False,False,31.312,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:07.000,39.5,9.7,516.9,810.8,False,False,False,31.312,0.0,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:16.000,39.5,129.4,497.4,810.9,False,False,False,44.16,44.494,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:16.000,39.5,129.4,497.4,810.9,False,False,False,44.16,44.494,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:16.000,39.5,129.4,497.4,810.9,False,False,False,44.16,44.494,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:25.000,39.5,73.1,501.6,811.0,False,False,False,55.264,24.562,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:25.000,39.5,73.1,501.6,811.0,False,False,False,55.264,24.562,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:25.000,39.5,73.1,501.6,811.0,False,False,False,55.264,24.562,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:34.000,39.5,24.7,507.1,811.1,False,False,False,67.2,18.268,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:34.000,39.5,24.7,507.1,811.1,False,False,False,67.2,18.268,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:34.000,39.5,24.7,507.1,811.1,False,False,False,67.2,18.268,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:43.000,39.0,25.0,506.8,811.1,False,False,False,71.824,18.268,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:43.000,39.0,25.0,506.8,811.1,False,False,False,71.824,18.268,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:43.000,39.0,25.0,506.8,811.1,False,False,False,71.824,18.268,,3520.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:52.000,39.0,24.7,507.0,811.2,False,False,False,78.016,18.756,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:52.000,39.0,24.7,507.0,811.2,False,False,False,78.016,18.756,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:34:52.000,39.0,24.7,507.0,811.2,False,False,False,78.016,18.756,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:01.000,39.0,18.9,507.4,811.3,False,False,False,81.488,17.442,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:01.000,39.0,18.9,507.4,811.3,False,False,False,81.488,17.442,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:01.000,39.0,18.9,507.4,811.3,False,False,False,81.488,17.442,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:10.000,39.0,18.3,507.7,811.3,False,False,False,78.016,17.242,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:10.000,39.0,18.3,507.7,811.3,False,False,False,78.016,17.242,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:10.000,39.0,18.3,507.7,811.3,False,False,False,78.016,17.242,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:19.000,38.5,18.2,507.4,811.4,False,False,False,83.104,12.6,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
M2211123122,2022-01-18 10:35:19.000,38.5,18.2,507.4,811.4,False,False,False,83.104,12.6,,3521.0,1.0,3.0,1.0,3.0,IONIQ5
