dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_discharg_power_quan,b_soh,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M2211123120,2022-01-28 15:57:53.000,87.5,30.7,580.0,4.02,4.02,994.1,100.0,False,False,False,85.312,34.384,,3922.0,17.0,23.0,17.0,24.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:02.000,87.5,30.8,580.8,4.04,4.02,994.2,100.0,False,False,False,82.192,19.932,,3922.0,17.0,23.0,17.0,24.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:11.000,87.5,-63.0,585.8,4.06,4.06,994.2,100.0,False,False,False,77.728,15.44,,3923.0,17.0,23.0,17.0,24.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:20.000,87.5,52.8,578.8,4.02,4.0,994.2,100.0,False,False,False,84.896,16.904,,3923.0,17.0,23.0,17.0,24.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:29.000,87.5,25.0,579.2,4.02,4.0,994.2,100.0,False,False,False,85.712,31.006,,3923.0,17.0,23.0,17.0,24.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:38.000,87.5,29.9,580.5,4.02,4.02,994.3,100.0,False,False,False,86.0,21.246,,3923.0,17.0,23.0,17.0,24.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:47.000,87.0,-40.6,585.7,4.06,4.06,994.3,100.0,False,False,False,79.92,23.736,,3923.0,17.0,23.0,17.0,23.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:58:56.000,87.0,-41.2,585.3,4.06,4.06,994.3,100.0,False,False,False,85.024,10.748,,3924.0,17.0,23.0,17.0,23.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:59:05.000,87.0,36.9,579.6,4.02,4.02,994.4,100.0,False,False,False,89.584,21.246,,3924.0,17.0,23.0,17.0,23.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
M2211123120,2022-01-28 15:59:14.000,87.0,-8.9,581.8,4.04,4.02,994.4,100.0,False,False,False,79.696,26.714,,3924.0,17.0,23.0,17.0,23.0,IONIQ5,108,1.7,4.9,35,,,,,,,,,
