dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M2211123120,2022-03-25 07:51:52.000,52.5,1.7,533.9,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:52:02.000,52.5,2.7,533.8,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:52:12.000,52.5,4.0,533.7,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:52:22.000,52.5,4.8,533.6,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:52:32.000,52.5,5.9,533.4,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:52:42.000,52.5,6.2,533.3,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:52:52.000,52.0,6.5,533.1,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:53:02.000,52.0,7.3,533.0,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:53:12.000,52.0,7.8,532.8,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:53:22.000,52.0,7.9,532.6,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:53:32.000,52.0,8.0,532.5,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
M2211123120,2022-03-25 07:53:42.000,52.0,7.9,532.4,1864.7,False,False,False,0.0,0.0,,7988.0,10.0,11.0,10.0,11.0,IONIQ5,108,6.6,2.5,81,,,,,,,,,
