dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_charg_power_quan,b_soh,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M2211123122,2022-02-07 17:47:09.000,65.0,-48.2,559.0,3.88,3.86,1117.1,100.0,False,True,,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:09.000,65.0,-48.2,559.0,3.88,3.86,1117.1,100.0,False,True,,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:28.000,65.5,-48.6,561.6,3.9,3.88,1117.2,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:28.000,65.5,-48.6,561.6,3.9,3.88,1117.2,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:37.000,65.5,-48.9,562.4,3.9,3.9,1117.3,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:37.000,65.5,-48.9,562.4,3.9,3.9,1117.3,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:46.000,65.5,-47.7,562.9,3.9,3.9,1117.3,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:46.000,65.5,-47.7,562.9,3.9,3.9,1117.3,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:55.000,65.5,-47.2,563.4,3.9,3.9,1117.4,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:47:55.000,65.5,-47.2,563.4,3.9,3.9,1117.4,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:04.000,66.0,-48.8,564.0,3.92,3.9,1117.4,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:04.000,66.0,-48.8,564.0,3.92,3.9,1117.4,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:13.000,66.0,-48.3,564.4,3.92,3.9,1117.5,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:13.000,66.0,-48.3,564.4,3.92,3.9,1117.5,100.0,False,True,5.0,,6.0,6.0,6.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:22.000,66.0,-48.8,564.8,3.92,3.9,1117.6,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:22.000,66.0,-48.8,564.8,3.92,3.9,1117.6,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:31.000,66.0,-48.6,565.1,3.92,3.92,1117.6,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:31.000,66.0,-48.6,565.1,3.92,3.92,1117.6,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:40.000,66.0,-41.3,564.4,3.92,3.9,1117.7,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:40.000,66.0,-41.3,564.4,3.92,3.9,1117.7,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:49.000,66.0,-48.1,565.5,3.92,3.92,1117.7,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:49.000,66.0,-48.1,565.5,3.92,3.92,1117.7,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:58.000,66.5,-47.6,565.8,3.92,3.92,1117.8,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:48:58.000,66.5,-47.6,565.8,3.92,3.92,1117.8,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
M2211123122,2022-02-07 17:49:07.000,66.5,-48.2,566.0,3.92,3.92,1117.8,100.0,False,True,5.0,,6.0,6.0,7.0,6.0,IONIQ5,108,0.6,2.3,37,,,,,,,,,
