dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_discharg_power_quan,b_soh,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2211123122,2022-01-21 15:03:17.000,85.0,45.4,571.1,3.96,3.94,893.9,100.0,False,False,False,100.528,0.0,,3864.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:17.000,85.0,45.4,571.1,3.96,3.94,893.9,100.0,False,False,False,100.528,0.0,,3864.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:17.000,85.0,45.4,571.1,3.96,3.94,893.9,100.0,False,False,False,100.528,0.0,,3864.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:26.000,84.5,-8.0,575.1,3.98,3.98,893.9,100.0,False,False,False,101.856,0.0,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:26.000,84.5,-8.0,575.1,3.98,3.98,893.9,100.0,False,False,False,101.856,0.0,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:26.000,84.5,-8.0,575.1,3.98,3.98,893.9,100.0,False,False,False,101.856,0.0,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:35.000,84.5,22.9,572.6,3.98,3.96,894.0,100.0,False,False,False,98.912,20.908,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:35.000,84.5,22.9,572.6,3.98,3.96,894.0,100.0,False,False,False,98.912,20.908,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:35.000,84.5,22.9,572.6,3.98,3.96,894.0,100.0,False,False,False,98.912,20.908,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:44.000,84.5,-9.6,576.0,4.0,3.98,894.0,100.0,False,False,False,93.696,11.286,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:44.000,84.5,-9.6,576.0,4.0,3.98,894.0,100.0,False,False,False,93.696,11.286,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:44.000,84.5,-9.6,576.0,4.0,3.98,894.0,100.0,False,False,False,93.696,11.286,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:53.000,84.5,87.4,569.9,3.96,3.94,894.0,100.0,False,False,False,94.336,21.584,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:53.000,84.5,87.4,569.9,3.96,3.94,894.0,100.0,False,False,False,94.336,21.584,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:03:53.000,84.5,87.4,569.9,3.96,3.94,894.0,100.0,False,False,False,94.336,21.584,,3865.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:02.000,84.5,-1.5,574.4,3.98,3.96,894.1,100.0,False,False,False,100.592,25.538,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:02.000,84.5,-1.5,574.4,3.98,3.96,894.1,100.0,False,False,False,100.592,25.538,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:02.000,84.5,-1.5,574.4,3.98,3.96,894.1,100.0,False,False,False,100.592,25.538,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:11.000,84.5,64.8,568.2,3.94,3.94,894.2,100.0,False,False,False,107.184,34.722,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:11.000,84.5,64.8,568.2,3.94,3.94,894.2,100.0,False,False,False,107.184,34.722,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:11.000,84.5,64.8,568.2,3.94,3.94,894.2,100.0,False,False,False,107.184,34.722,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:20.000,84.5,64.4,567.1,3.98,3.92,894.3,100.0,False,False,False,122.528,11.624,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:20.000,84.5,64.4,567.1,3.98,3.92,894.3,100.0,False,False,False,122.528,11.624,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:20.000,84.5,64.4,567.1,3.98,3.92,894.3,100.0,False,False,False,122.528,11.624,,3866.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:29.000,84.5,-40.7,578.5,4.0,4.0,894.3,100.0,False,False,False,109.84,0.0,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:29.000,84.5,-40.7,578.5,4.0,4.0,894.3,100.0,False,False,False,109.84,0.0,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:29.000,84.5,-40.7,578.5,4.0,4.0,894.3,100.0,False,False,False,109.84,0.0,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:38.000,84.5,16.5,573.4,3.98,3.96,894.3,100.0,False,False,False,94.8,19.444,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:38.000,84.5,16.5,573.4,3.98,3.96,894.3,100.0,False,False,False,94.8,19.444,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:38.000,84.5,16.5,573.4,3.98,3.96,894.3,100.0,False,False,False,94.8,19.444,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:47.000,84.0,51.3,571.4,3.96,3.96,894.4,100.0,False,False,False,91.44,18.268,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:47.000,84.0,51.3,571.4,3.96,3.96,894.4,100.0,False,False,False,91.44,18.268,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:47.000,84.0,51.3,571.4,3.96,3.96,894.4,100.0,False,False,False,91.44,18.268,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:56.000,84.0,-30.5,575.3,3.98,3.98,894.4,100.0,False,False,False,93.632,8.458,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:56.000,84.0,-30.5,575.3,3.98,3.98,894.4,100.0,False,False,False,93.632,8.458,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:04:56.000,84.0,-30.5,575.3,3.98,3.98,894.4,100.0,False,False,False,93.632,8.458,,3867.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:05:05.000,84.0,16.9,572.8,3.98,3.96,894.5,100.0,False,False,False,91.616,18.606,,3868.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:05:05.000,84.0,16.9,572.8,3.98,3.96,894.5,100.0,False,False,False,91.616,18.606,,3868.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:05:05.000,84.0,16.9,572.8,3.98,3.96,894.5,100.0,False,False,False,91.616,18.606,,3868.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:05:14.000,84.0,-5.1,573.1,3.98,3.98,894.5,100.0,False,False,False,91.44,13.776,,3868.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:05:14.000,84.0,-5.1,573.1,3.98,3.98,894.5,100.0,False,False,False,91.44,13.776,,3868.0,14.0,21.0,15.0,21.0,IONIQ5
M2211123122,2022-01-21 15:05:14.000,84.0,-5.1,573.1,3.98,3.98,894.5,100.0,False,False,False,91.44,13.776,,3868.0,14.0,21.0,15.0,21.0,IONIQ5
