dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2210703914,2022-01-10 10:29:23.000,83.0,0.1,721.0,2036.8,False,False,False,8.272,3.816,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:29:33.000,83.0,-26.0,721.1,2036.8,False,False,False,9.312,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:29:43.000,83.0,-34.9,722.7,2036.8,False,False,False,5.152,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:29:53.000,83.0,0.3,721.0,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:30:03.000,83.0,2.1,720.7,2036.8,False,False,False,5.264,10.748,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:30:13.000,83.0,3.3,719.9,2036.8,False,False,False,26.56,21.734,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:30:23.000,83.0,-35.0,721.5,2036.8,False,False,False,31.6,9.622,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:30:33.000,83.0,-29.2,721.5,2036.8,False,False,False,0.288,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:30:43.000,83.0,0.9,720.6,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:30:53.000,83.0,0.9,720.6,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:31:03.000,83.0,0.9,720.7,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:31:13.000,83.0,0.8,720.7,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:31:23.000,83.0,0.9,720.7,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:31:33.000,83.0,0.9,720.7,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
M2210703914,2022-01-10 10:31:43.000,83.0,0.9,720.7,2036.8,False,False,False,0.0,0.0,,8602.0,3.0,5.0,4.0,6.0,IONIQ5
