car_id,car_type,date_start,start_soc,end_soc,charge_quan,charge_time,charge_speed,charge_power_quan,mileage,current_avg,volt_avg,extern_temp_avg,soc_avg,battery_module1_temp_avg,charge_power_per_hour,accum_mileage,temperature_avg,wind_speed_avg,humidity_avg,rainfall_avg,snowfall_avg,traffic_volume_avg,air_co_avg,air_no2_avg,air_o3_avg,air_pm10_avg,air_pm25_avg,air_so2_avg
M2210703978,EV6,2022-08-01 00:03:42,49.5,94.0,44.5,2382,67.2544080604534,39.100000000000364,,-79.73041666666668,773.9375,25.0,75.68541666666667,31.408333333333335,59.093198992443874,,25.5,2.1999999999999997,95.0,1.0999999999999999,,2915760.0,0.20000000000000004,0.012500000000000002,0.015000000000000006,15.0,9.0,0.0030000000000000005
M1200607568,IONIQ5,2022-08-01 00:36:29,53.5,96.5,43.0,4288,36.100746268656714,35.400000000000546,,-45.09720812182742,723.8109137055837,25.0,77.55456852791878,27.83248730964467,29.7201492537318,,25.5,2.0720812182741115,95.0,0.46040609137055827,,2915760.0,0.19999999999999998,0.012499999999999999,0.015000000000000005,15.0,9.0,0.003
M1200607390,IONIQ5,2022-08-01 03:29:24,46.0,76.0,30.0,1082,99.81515711645102,24.100000000000364,,-120.38363636363637,704.4372727272726,23.0,60.05909090909091,27.154545454545456,80.18484288355019,,25.599999999999994,1.699999999999999,95.0,0.19999999999999996,,2915760.0,0.19999999999999996,0.012499999999999997,0.015,15.0,9.0,0.003
M1200607390,IONIQ5,2022-08-01 04:34:29,70.5,82.0,11.5,832,49.75961538461538,9.399999999999636,,-57.40823529411763,721.0317647058824,24.0,75.89411764705882,27.32941176470588,40.67307692307535,,25.5,1.9000000000000004,95.0,4.600000000000002,,2915760.0,0.19999999999999996,0.012499999999999997,0.014999999999999996,15.0,9.0,0.002999999999999999
M1200606180,NIRO,2022-08-01 06:19:16,14.5,29.5,15.0,591,91.37055837563452,10.299999999999272,,-192.8051724137931,360.83103448275864,26.0,21.474137931034484,31.75862068965517,62.7411167512646,,25.400000000000006,2.0,96.0,11.1,,2915760.0,0.19999999999999996,0.012499999999999997,0.015,15.0,9.0,0.0029999999999999996
M2211122605,G80,2022-08-01 06:19:40,50.0,56.0,6.0,580,37.241379310344826,5.800000000000182,,-70.0542372881356,545.8440677966101,26.06779661016949,52.95762711864407,27.06779661016949,36.00000000000113,,25.400000000000006,2.0,96.0,11.1,,2915760.0,0.19999999999999996,0.012499999999999997,0.015,15.0,9.0,0.0029999999999999996
M1200606180,NIRO,2022-08-01 06:49:17,60.5,86.5,26.0,1771,52.851496329757204,19.5,,-84.13254437869823,396.4627218934911,26.0,75.5828402366864,33.9585798816568,39.6386222473179,,25.400000000000002,1.3727810650887573,96.0,8.340236686390533,,2915760.0,0.19999999999999998,0.012499999999999999,0.015000000000000001,15.0,9.0,0.002999999999999999
M2211122605,G80,2022-08-01 06:49:31,70.0,87.5,17.5,1994,31.59478435305918,17.299999999999955,,-66.82955974842767,581.9918238993712,28.687898089171973,78.81761006289308,29.49685534591195,31.233701103309848,,25.400000000000006,1.3836477987421383,96.0,8.38805031446541,,2915760.0,0.19999999999999996,0.012499999999999997,0.015,15.0,9.0,0.0029999999999999996
M1200607369,IONIQ5,2022-08-01 07:33:38,53.5,87.0,33.5,2353,51.25371865703357,27.300000000000182,,-58.85696202531646,713.2654008438818,25.0,70.14345991561181,27.670886075949365,41.76795580110525,,25.498734177215184,1.0987341772151902,96.0,4.922784810126583,,2915760.0,0.2,0.0125,0.015000000000000003,15.0,9.0,0.0030000000000000005
M1200607548,NIRO,2022-08-01 08:09:45,32.5,54.5,22.0,2162,36.63274745605921,15.199999999999818,,-70.1625,364.10648148148147,25.0,43.395833333333336,27.77314814814815,25.309898242367876,,25.699999999999996,1.3000000000000003,96.0,1.3000000000000003,,2915760.0,0.2,0.0125,0.015000000000000005,15.0,9.0,0.003
M2211120145,EV6,2022-08-01 08:54:18,27.5,87.0,59.5,4081,52.48713550600343,50.09999999999991,,-60.1436170212766,735.7704787234043,28.0,54.74202127659574,31.24468085106383,44.195050232786,,26.167287234042547,1.7497340425531918,95.93617021276596,0.13484042553191491,,2915760.0,0.19999999999999998,0.012499999999999999,0.015000000000000005,15.0,9.0,0.0029999999999999996
