dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2210703926,2022-01-10 21:06:08.000,43.5,16.8,651.8,640.2,False,False,False,33.728,16.904,,2448.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:06:18.000,43.5,-27.5,659.1,640.2,False,False,False,25.984,19.582,,2448.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:06:28.000,43.5,42.9,647.3,640.3,False,False,False,52.384,17.58,,2448.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:06:38.000,43.5,55.8,648.1,640.4,False,False,False,60.832,20.908,,2448.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:06:48.000,43.5,-11.9,654.0,640.4,False,False,False,55.84,11.924,,2449.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:06:58.000,43.5,14.3,650.1,640.5,False,False,False,68.288,12.262,,2449.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:07:08.000,43.5,34.6,651.3,640.5,False,False,False,62.688,14.952,,2449.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:07:18.000,43.0,-29.3,656.8,640.5,False,False,False,58.512,6.456,,2449.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:07:28.000,43.0,-53.2,659.8,640.5,False,False,False,54.112,0.15,,2449.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:07:38.000,43.0,57.9,648.7,640.6,False,False,False,50.528,12.95,,2449.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:07:48.000,43.0,12.2,655.0,640.6,False,False,False,52.544,0.0,,2450.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:07:58.000,43.0,-5.0,654.0,640.6,False,False,False,47.056,13.088,,2450.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:08:08.000,43.0,-52.5,661.3,640.6,False,False,False,35.536,0.0,,2450.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:08:18.000,43.0,-35.7,659.0,640.6,False,False,False,37.04,0.0,,2450.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:08:28.000,43.0,32.0,653.1,640.6,False,False,False,42.656,29.892,,2450.0,9.0,10.0,9.0,10.0,IONIQ5
M2210703926,2022-01-10 21:08:38.000,43.0,51.9,648.5,640.7,False,False,False,67.312,14.264,,2450.0,9.0,10.0,9.0,10.0,IONIQ5
