car_id,car_type,date_start,start_soc,end_soc,charge_quan,charge_time,charge_speed,charge_power_quan,mileage,current_avg,volt_avg,extern_temp_avg,soc_avg,battery_module1_temp_avg,charge_power_per_hour,accum_mileage,temperature_avg,wind_speed_avg,humidity_avg,rainfall_avg,snowfall_avg,traffic_volume_avg,air_co_avg,air_no2_avg,air_o3_avg,air_pm10_avg,air_pm25_avg,air_so2_avg
M2210703669,EV6,2022-07-29 17:18:39,43.5,89.0,45.5,23246,7.0463735696463905,38.900000000000546,,-8.128451612903225,742.1932903225807,28.065202927478378,65.19612903225807,29.74967741935484,6.024262238664801,,31.194387096774197,2.3816129032258067,68.66580645161291,,,3158283.0,0.29999999999999993,0.016600000000000004,0.04299999999999998,24.0,16.0,0.003
M2211122958,EV6,2022-07-30 21:21:57,67.5,75.0,7.5,4106,6.5757428153921085,6.699999999999818,,-7.771717171717173,753.8623737373738,27.0,71.375,31.0,5.874330248416792,,29.956060606060603,2.3318181818181816,71.24242424242425,0.0,,3222944.0,0.19999999999999998,0.013899999999999996,0.024999999999999998,19.0,11.0,0.003
M2210703654,EV6,2022-07-31 19:20:09,68.0,96.5,28.5,15819,6.485871420443771,25.19999999999891,,-7.615010877447426,771.0154459753445,28.0,82.78027556200145,30.579405366207396,5.734875782286875,,26.0464829586657,2.4524292965917334,93.86076867295141,7.027338651196518,,2734445.0,0.19999999999999996,0.0121,0.010999999999999996,13.0,7.0,0.002999999999999999
M2211120222,G80,2022-07-31 19:21:38,59.5,87.5,28.0,16580,6.079613992762364,27.40000000000009,,-10.413164556962025,568.3058860759493,29.578392621870883,73.50759493670886,30.46518987341772,5.949336550060333,,26.01537974683544,2.45,93.92848101265822,7.151075949367088,,2734445.0,0.2,0.0121,0.010999999999999998,13.0,7.0,0.003
M2210704086,EV6,2022-07-31 19:48:42,37.5,44.0,6.5,3393,6.896551724137931,5.300000000000182,,-8.175384615384615,701.7399999999999,27.0,40.815384615384616,28.49230769230769,5.623342175066506,,26.45076923076923,2.715384615384616,92.83076923076923,2.459999999999999,,2734445.0,0.2,0.012099999999999998,0.010999999999999998,13.0,7.0,0.0029999999999999996
M1200607451,IONIQ5,2022-07-31 23:44:26,81.5,96.5,15.0,8965,6.0234244283324045,12.699999999999818,,-7.55607580824972,734.9107023411372,25.0,89.73801560758082,28.463768115942027,5.099832682654696,,25.5,2.1420289855072463,95.0,1.4351170568561866,,2896759.3199554067,0.20000000000000004,0.012458082497212933,0.014580824972129324,14.79041248606466,8.79041248606466,0.0029999999999999996
M2211122941,EV6,2022-07-31 23:45:03,90.5,96.5,6.0,3562,6.064008983717013,5.5,,-7.406162464985995,790.2787114845938,27.0,93.86974789915966,31.0,5.558674901740596,,25.5,2.27563025210084,95.0,3.116806722689075,,2870050.336134454,0.19999999999999993,0.012399159663865544,0.013991596638655462,14.495798319327731,8.495798319327731,0.002999999999999999
M2210703961,NIRO,2022-07-31 23:45:30,40.5,96.5,56.0,23792,8.47343644922663,40.80000000000018,,-15.724095878889822,383.21030277544156,26.0,69.10513036164845,29.67703952901598,6.173503698722287,,25.494449116904963,1.8974348191757782,95.05592935239697,2.7527754415475183,,2909126.524390244,0.19999999999999998,0.012485365853658536,0.014853658536585367,14.926829268292684,8.926829268292684,0.0029999999999999996
M2210703747,EV6,2022-07-31 23:45:42,57.0,96.0,39.0,20071,6.995167156594091,34.29999999999973,,-7.890084703537618,763.5266068759341,28.0,76.81365221723966,31.60388639760837,6.152159832594241,,25.511808669656205,1.9610861983059291,95.0,1.824713502740408,,2907990.647732935,0.20000000000000004,0.01248285999003488,0.014828599900348785,14.91429995017439,8.91429995017439,0.0030000000000000005
M2210704047,EV6,2022-07-31 23:46:50,51.5,96.5,45.0,23903,6.777391959168305,39.100000000000364,,-7.663598326359833,758.6240167364016,26.0,74.32029288702928,31.32175732217573,5.8888005689662934,,25.493640167364017,1.8960669456066948,95.06359832635984,2.7972803347280335,,2909766.742677824,0.19999999999999998,0.012486778242677823,0.014867782426778242,14.93389121338912,8.93389121338912,0.0029999999999999996
