dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_discharg_power_quan,b_soh,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M2210703914,2022-01-05 19:31:31.000,50.5,1.7,660.4,3.66,3.66,1966.4,100.0,False,False,False,97.984,0.0,,8301.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:31:41.000,50.5,17.7,655.8,3.64,3.62,1966.5,100.0,False,False,False,96.016,0.0,,8301.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:31:51.000,50.5,113.2,646.5,3.6,3.56,1966.6,100.0,False,False,False,104.864,0.0,,8302.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:32:01.000,50.0,-8.7,657.9,3.64,3.64,1966.6,100.0,False,False,False,96.704,0.0,,8302.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:32:11.000,50.0,-6.5,657.7,3.64,3.64,1966.6,100.0,False,False,False,96.128,0.0,,8302.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:32:21.000,50.0,-45.3,664.5,3.68,3.68,1966.7,100.0,False,False,False,86.928,0.0,,8302.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:32:31.000,50.0,-1.3,658.3,3.66,3.64,1966.7,100.0,False,False,False,76.624,0.0,,8303.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:32:41.000,50.0,25.8,657.3,3.64,3.64,1966.7,100.0,False,False,False,76.736,0.0,,8303.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:32:51.000,50.0,-31.7,662.4,3.68,3.66,1966.7,100.0,False,False,False,57.296,0.0,,8303.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:33:01.000,50.0,-13.5,663.7,3.68,3.68,1966.7,100.0,False,False,False,36.512,14.264,,8303.0,9.0,16.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
M2210703914,2022-01-05 19:33:11.000,50.0,6.8,661.3,3.66,3.66,1966.7,100.0,False,False,False,23.04,26.714,,8303.0,9.0,15.0,11.0,16.0,IONIQ5,108,0.1,1.3,42,,,,,,,,,
