dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_charg_power_quan,b_slow_charg_con_sts,b_fast_charg_con_sts,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M2210703775,2022-01-10 07:54:25.000,9.5,-46.5,625.7,2686.5,False,True,,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:54:36.000,9.5,-96.8,640.7,2686.6,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:54:46.000,10.0,-96.9,642.7,2686.7,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:54:56.000,10.0,-96.2,644.0,2686.9,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:55:06.000,10.0,-96.4,645.1,2687.0,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:55:16.000,10.5,-97.1,646.1,2687.2,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:55:26.000,10.5,-97.1,647.1,2687.3,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:55:36.000,11.0,-96.9,647.8,2687.5,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:55:46.000,11.0,-96.8,648.5,2687.7,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:55:56.000,11.5,-90.7,648.2,2687.8,False,True,-5.0,,6.0,10.0,7.0,10.0,IONIQ5
M2210703775,2022-01-10 07:56:06.000,11.5,-96.8,650.0,2688.0,False,True,-5.0,,6.0,10.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:56:16.000,11.5,-97.3,650.7,2688.1,False,True,-5.0,,6.0,10.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:56:26.000,12.0,-96.8,651.3,2688.3,False,True,-5.0,,6.0,10.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:56:36.000,12.0,-96.9,652.0,2688.5,False,True,-5.0,,7.0,10.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:56:46.000,12.5,-97.3,652.7,2688.6,False,True,-5.0,,7.0,11.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:56:56.000,12.5,-97.0,653.3,2688.8,False,True,-5.0,,7.0,11.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:57:06.000,13.0,-97.0,654.2,2689.0,False,True,-5.0,,7.0,11.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:57:16.000,13.0,-96.8,654.8,2689.2,False,True,-5.0,,7.0,11.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:57:26.000,13.5,-96.5,655.5,2689.3,False,True,-5.0,,7.0,11.0,7.0,11.0,IONIQ5
M2210703775,2022-01-10 07:57:36.000,13.5,-97.4,656.2,2689.5,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:57:46.000,14.0,-96.9,656.7,2689.7,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:57:56.000,14.0,-96.9,657.2,2689.9,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:58:06.000,14.5,-97.1,657.6,2690.0,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:58:16.000,14.5,-97.0,658.1,2690.2,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:58:26.000,14.5,-96.3,658.5,2690.4,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:58:36.000,15.0,-97.5,659.1,2690.6,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:58:46.000,15.0,-97.1,659.6,2690.8,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:58:56.000,15.5,-96.7,660.0,2690.9,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:59:06.000,15.5,-96.8,660.6,2691.1,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:59:16.000,16.0,-97.4,661.1,2691.3,False,True,-5.0,,7.0,11.0,8.0,11.0,IONIQ5
M2210703775,2022-01-10 07:59:26.000,16.0,-97.2,661.5,2691.5,False,True,-5.0,,7.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 07:59:36.000,16.5,-96.7,661.7,2691.6,False,True,-5.0,,8.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 07:59:46.000,16.5,-97.1,661.8,2691.8,False,True,-5.0,,8.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 07:59:56.000,17.0,-97.2,661.8,2692.0,False,True,-5.0,,8.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 08:00:06.000,17.0,-97.2,661.7,2692.2,False,True,-5.0,,8.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 08:00:16.000,17.5,-96.6,662.0,2692.4,False,True,-5.0,,8.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 08:00:26.000,17.5,-96.4,662.4,2692.5,False,True,-5.0,,8.0,11.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 08:00:36.000,18.0,-96.4,663.0,2692.7,False,True,-5.0,,8.0,12.0,8.0,12.0,IONIQ5
M2210703775,2022-01-10 08:00:46.000,18.0,-96.4,663.6,2692.9,False,True,-5.0,,8.0,12.0,9.0,12.0,IONIQ5
M2210703775,2022-01-10 08:00:56.000,18.5,-96.7,664.0,2693.1,False,True,-5.0,,8.0,12.0,9.0,12.0,IONIQ5
M2210703775,2022-01-10 08:01:06.000,18.5,-96.6,664.6,2693.2,False,True,-5.0,,8.0,12.0,9.0,12.0,IONIQ5
