dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_accum_discharg_power_quan,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type
M1200607317,2022-03-10 21:34:25.000,76.5,7.6,707.4,1931.4,False,False,False,20.896,11.436,,8465.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:34:35.000,76.5,9.5,706.8,1931.4,False,False,False,30.096,8.946,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:34:45.000,76.5,17.8,705.8,1931.4,False,False,False,36.576,26.376,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:34:55.000,76.5,9.7,705.9,1931.5,False,False,False,48.384,24.074,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:35:05.000,76.5,16.9,705.2,1931.5,False,False,False,53.184,24.712,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:35:15.000,76.5,13.3,705.3,1931.6,False,False,False,54.752,25.738,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:35:25.000,76.5,13.6,705.0,1931.6,False,False,False,54.976,26.376,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:35:35.000,76.5,-7.8,707.7,1931.6,False,False,False,50.752,21.396,,8466.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:35:45.000,76.5,16.7,704.6,1931.6,False,False,False,56.368,17.58,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:35:55.000,76.5,23.6,704.0,1931.6,False,False,False,46.816,28.378,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:36:05.000,76.0,18.6,704.1,1931.7,False,False,False,50.064,21.396,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:36:15.000,76.0,29.1,702.6,1931.7,False,False,False,54.928,9.622,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:36:25.000,76.0,36.6,701.6,1931.7,False,False,False,55.04,21.396,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:36:35.000,76.0,6.0,705.1,1931.8,False,False,False,55.264,26.376,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:36:45.000,76.0,5.6,705.5,1931.8,False,False,False,53.952,25.538,,8467.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:36:55.000,76.0,-13.7,708.6,1931.8,False,False,False,56.256,26.914,,8468.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:37:05.000,76.0,-2.1,706.8,1931.8,False,False,False,47.808,23.398,,8468.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:37:15.000,76.0,38.4,701.4,1931.9,False,False,False,47.232,0.0,,8468.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:37:25.000,76.0,28.6,701.9,1931.9,False,False,False,65.632,35.01,,8468.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:37:35.000,76.0,12.6,702.8,1932.0,False,False,False,71.424,26.026,,8468.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:37:45.000,76.0,-23.5,706.9,1932.0,False,False,False,66.672,19.932,,8469.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:37:55.000,76.0,22.0,702.4,1932.0,False,False,False,68.704,32.72,,8469.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:38:05.000,76.0,36.9,699.3,1932.1,False,False,False,74.832,36.336,,8469.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:38:15.000,75.5,22.4,700.7,1932.1,False,False,False,79.92,34.384,,8469.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:38:25.000,75.5,-8.5,704.1,1932.2,False,False,False,81.248,24.224,,8469.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:38:35.000,75.5,21.5,701.9,1932.2,False,False,False,73.968,33.358,,8470.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:38:45.000,75.5,4.3,703.4,1932.2,False,False,False,75.232,24.562,,8470.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:38:55.000,75.5,-0.9,705.0,1932.2,False,False,False,72.576,27.052,,8470.0,13.0,14.0,13.0,14.0,IONIQ5
M1200607317,2022-03-10 21:39:05.000,75.5,37.4,700.1,1932.3,False,False,False,67.6,35.36,,8470.0,13.0,14.0,13.0,14.0,IONIQ5
