dev_id,coll_dt,b_soc,b_pack_current,b_pack_volt,b_max_cell_volt,b_min_cell_volt,b_accum_discharg_power_quan,b_soh,b_charg_lamp_sts_1,b_slow_charg_con_sts,b_fast_charg_con_sts,v_car_speed,v_accel_pedal_depth,a_extern_temp_sensor,c_mileage,b_modul_1_temp,b_modul_2_temp,b_modul_3_temp,b_modul_4_temp,car_type,weather_station_ID,temperature,wind_speed,humidity,rainfall,snowfall,traffic_volume,air_co,air_no2,air_o3,air_pm10,air_pm25,air_so2
M1200607457,2022-01-15 12:16:48.000,83.5,8.5,712.8,3.96,3.94,1044.4,100.0,False,False,False,90.976,0.0,,4404.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:16:58.000,83.5,50.4,698.6,3.88,3.86,1044.4,100.0,False,False,False,92.144,0.0,,4405.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:17:08.000,83.5,-10.7,711.2,3.94,3.94,1044.4,100.0,False,False,False,92.544,0.0,,4405.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:17:18.000,83.5,77.7,696.2,3.86,3.86,1044.5,100.0,False,False,False,98.224,0.0,,4405.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:17:28.000,83.5,34.6,705.2,3.9,3.9,1044.6,100.0,False,False,False,104.928,0.0,,4406.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:17:38.000,83.5,13.0,703.0,3.9,3.9,1044.7,100.0,False,False,False,105.616,0.0,,4406.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:17:48.000,83.5,14.9,702.8,3.9,3.9,1044.7,100.0,False,False,False,101.984,0.0,,4406.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:17:58.000,83.0,8.4,708.3,3.92,3.92,1044.8,100.0,False,False,False,110.368,0.0,,4406.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:18:08.000,83.0,6.0,710.4,3.94,3.94,1044.9,100.0,False,False,False,112.736,0.0,,4407.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
M1200607457,2022-01-15 12:18:18.000,83.0,-109.4,732.5,4.06,4.06,1044.9,100.0,False,False,False,80.912,0.0,,4407.0,2.0,2.0,2.0,2.0,IONIQ5,108,0.4,2.3,41,,,,,,,,,
